source_url,target_url,status,error,final_url
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=4078566,https://www.lanecounty.org/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf,200,,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=4078590,https://www.lanecounty.org/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf,200,,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=4078590#ctl00_ContentPlaceHolder1_ctl05_linkLastNav,https://www.lanecounty.org/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf,200,,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=4078590#mMenuCMS,https://www.lanecounty.org/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf,200,,https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_3585797/File/Government/County%20Departments/Health%20and%20Human%20Services/Public%20Health/Communicable%20Disease/LCVaccineRec-2025-09-18.pdf
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=4078590,https://www.lanecounty.org/cms/One.aspx?portalId=3585881&pageId=17881059,200,,https://www.lanecounty.org/cms/One.aspx?portalId=3585881&pageId=17881059
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=4078590#ctl00_ContentPlaceHolder1_ctl05_linkLastNav,https://www.lanecounty.org/cms/One.aspx?portalId=3585881&pageId=17881059,200,,https://www.lanecounty.org/cms/One.aspx?portalId=3585881&pageId=17881059
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=4078590#mMenuCMS,https://www.lanecounty.org/cms/One.aspx?portalId=3585881&pageId=17881059,200,,https://www.lanecounty.org/cms/One.aspx?portalId=3585881&pageId=17881059
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=3711304,http://www.lanecounty.org/cms/one.aspx?objectId=4081111,200,,https://www.lanecounty.org/cms/one.aspx?objectId=4081111
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=3720173,https://www.lanecounty.org/government/county_departments/health_and_human_services/public_health/2019_novel_coronavirus__c_o_v_i_d19,200,,https://www.lanecounty.org/government/county_departments/health_and_human_services/public_health/2019_novel_coronavirus__c_o_v_i_d19
https://www.lanecountyor.gov/cms/One.aspx?portalId=3585881&pageId=3720173,https://www.211info.org/,200,,https://www.211info.org/
